year,round,event,circuit,driver_code,driver_number,driver_age,constructor,grid_position,finish_position,position_gain,points_constructor
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,99,99,30,Alfa Romeo Racing,13,17,-4,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,63,63,34,Williams,7,11,-4,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,6,6,26,Williams,11,15,-4,100.0
2020,1,Tuscan Grand Prix,Tuscan Grand Prix,20,20,29,Haas F1 Team,13,16,-3,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,44,44,35,Mercedes,4,3,1,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,33,33,25,Red Bull Racing,4,2,2,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,77,77,33,Mercedes,2,1,1,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,11,11,36,Racing Point,4,4,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,3,3,32,Renault,5,5,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,55,55,28,McLaren,19,19,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,31,31,29,Renault,7,7,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,4,4,35,McLaren,15,15,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,10,10,35,AlphaTauri,6,9,-3,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,16,16,35,Ferrari,7,6,1,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,26,26,35,AlphaTauri,5,8,-3,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,18,18,27,Racing Point,20,20,0,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,63,63,34,Williams,14,18,-4,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,5,5,33,Ferrari,14,13,1,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,23,23,30,Red Bull Racing,12,10,2,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,8,8,35,Haas F1 Team,14,17,-3,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,99,99,32,Alfa Romeo Racing,7,11,-4,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,20,20,30,Haas F1 Team,9,12,-3,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,7,7,24,Alfa Romeo Racing,10,14,-4,100.0
2020,1,Russian Grand Prix,Russian Grand Prix,6,6,24,Williams,12,16,-4,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,77,77,32,Mercedes,20,19,1,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,44,44,34,Mercedes,2,1,1,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,33,33,32,Red Bull Racing,4,2,2,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,16,16,27,Ferrari,8,7,1,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,23,23,36,Red Bull Racing,19,17,2,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,3,3,32,Renault,3,3,0,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,31,31,26,Renault,18,18,0,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,4,4,30,McLaren,16,16,0,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,11,11,29,Racing Point,4,4,0,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,55,55,31,McLaren,5,5,0,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,5,5,34,Ferrari,12,11,1,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,10,10,32,AlphaTauri,3,6,-3,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,26,26,28,AlphaTauri,12,15,-3,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,99,99,24,Alfa Romeo Racing,6,10,-4,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,20,20,26,Haas F1 Team,10,13,-3,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,8,8,33,Haas F1 Team,6,9,-3,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,63,63,35,Williams,16,20,-4,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,6,6,31,Williams,10,14,-4,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,7,7,34,Alfa Romeo Racing,8,12,-4,100.0
2020,1,Eifel Grand Prix,Eifel Grand Prix,27,27,29,Racing Point,8,8,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,44,44,31,Mercedes,2,1,1,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,77,77,32,Mercedes,3,2,1,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,33,33,27,Red Bull Racing,5,3,2,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,16,16,24,Ferrari,5,4,1,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,11,11,24,Racing Point,7,7,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,23,23,33,Red Bull Racing,14,12,2,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,55,55,27,McLaren,6,6,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,4,4,35,McLaren,13,13,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,10,10,30,AlphaTauri,2,5,-3,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,3,3,25,Renault,9,9,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,31,31,26,Renault,8,8,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,18,18,24,Racing Point,20,20,0,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,26,26,28,AlphaTauri,16,19,-3,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,63,63,24,Williams,10,14,-4,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,5,5,31,Ferrari,11,10,1,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,7,7,24,Alfa Romeo Racing,7,11,-4,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,99,99,34,Alfa Romeo Racing,11,15,-4,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,8,8,24,Haas F1 Team,14,17,-3,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,20,20,25,Haas F1 Team,13,16,-3,100.0
2020,1,Portuguese Grand Prix,Portuguese Grand Prix,6,6,25,Williams,14,18,-4,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,77,77,35,Mercedes,3,2,1,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,44,44,29,Mercedes,2,1,1,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,33,33,30,Red Bull Racing,19,17,2,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,10,10,28,AlphaTauri,17,20,-3,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,3,3,24,Renault,3,3,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,23,23,24,Red Bull Racing,17,15,2,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,16,16,26,Ferrari,6,5,1,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,26,26,25,AlphaTauri,1,4,-3,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,4,4,28,McLaren,8,8,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,55,55,35,McLaren,7,7,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,11,11,33,Racing Point,6,6,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,31,31,29,Renault,19,19,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,63,63,30,Williams,12,16,-4,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,5,5,27,Ferrari,13,12,1,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,18,18,30,Racing Point,13,13,0,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,8,8,34,Haas F1 Team,11,14,-3,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,20,20,31,Haas F1 Team,15,18,-3,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,7,7,34,Alfa Romeo Racing,5,9,-4,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,6,6,24,Williams,7,11,-4,100.0
2020,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,99,99,29,Alfa Romeo Racing,6,10,-4,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,18,18,31,Racing Point,9,9,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,33,33,28,Red Bull Racing,8,6,2,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,11,11,27,Racing Point,2,2,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,23,23,25,Red Bull Racing,9,7,2,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,3,3,29,Renault,10,10,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,44,44,29,Mercedes,2,1,1,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,31,31,34,Renault,11,11,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,7,7,24,Alfa Romeo Racing,11,15,-4,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,77,77,32,Mercedes,15,14,1,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,99,99,35,Alfa Romeo Racing,16,20,-4,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,5,5,34,Ferrari,4,3,1,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,16,16,29,Ferrari,5,4,1,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,20,20,36,Haas F1 Team,14,17,-3,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,4,4,26,McLaren,8,8,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,55,55,27,McLaren,5,5,0,100.0
2020,1,Turkish Grand Prix,Turkish Grand Prix,26,26,35,AlphaTauri,9,12,-3,100.0
