resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,circuitId,date,driverRef,dob,nationality,name,alt,country,points_constructor,status,url,quali_position,q1,q2,q3,pit_stops_count,pit_stops_duration_ms,avg_lap_time_ms,std_lap_time_ms,weather_temp_c,weather_precip_mm,weather_rain_mm,weather_cloud_pct,driver_age,avg_stint_length
41,19,13,6,2,1,,R,19,0.0,30,,,15,5,1:35.914,208.048,20,2008,2,2008-03-23,massa,1981-04-25,Brazilian,Ferrari,18,Malaysia,10.0,Spun off,http://en.wikipedia.org/wiki/2008_Formula_One_season,1.0,1:35.347,1:34.412,1:35.748,0.0,,97979.03333333334,4852.947952166476,28.4,0.9,0.9,99.0,26.910335386721425,30.0
42,19,16,10,20,20,,R,20,0.0,5,,,3,20,1:40.330,198.891,9,2008,2,2008-03-23,sutil,1983-01-11,German,Force India,18,Malaysia,0.0,Hydraulics,http://en.wikipedia.org/wiki/2008_Formula_One_season,21.0,1:37.101,,,0.0,,103760.2,6466.555860734521,28.4,0.9,0.9,99.0,25.196440793976727,5.0
43,19,10,7,12,10,,R,21,0.0,1,,,,,,,4,2008,2,2008-03-23,glock,1982-03-18,German,Toyota,18,Malaysia,5.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,10.0,1:35.891,1:35.000,1:39.656,0.0,,170790.0,,28.4,0.9,0.9,99.0,26.015058179329227,1.0
44,19,7,5,14,18,,R,22,0.0,0,,,,,,,20,2008,2,2008-03-23,bourdais,1979-02-28,French,Toro Rosso,18,Malaysia,0.0,Spun off,http://en.wikipedia.org/wiki/2008_Formula_One_season,19.0,1:36.677,,,0.0,,,,28.4,0.9,0.9,99.0,29.065023956194388,0.0
45,20,13,6,2,2,1,1,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1,2008,3,2008-04-06,massa,1981-04-25,Brazilian,Ferrari,7,Bahrain,18.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,2.0,1:31.937,1:31.188,1:33.123,0.0,,95911.75438596492,5105.913722204529,24.7,0.0,0.0,5.0,26.94866529774127,57.0
46,20,8,6,1,4,2,2,2,8.0,57,+3.339,5470309,35,4,1:33.709,207.911,1,2008,3,2008-04-06,raikkonen,1979-10-17,Finnish,Ferrari,7,Bahrain,18.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,1:32.652,1:31.933,1:33.418,0.0,,95970.33333333333,5202.454301760348,24.7,0.0,0.0,5.0,28.470910335386723,57.0
47,20,9,2,4,1,3,3,3,6.0,57,+4.998,5471968,55,5,1:33.775,207.765,1,2008,3,2008-04-06,kubica,1984-12-07,Polish,BMW Sauber,7,Bahrain,11.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,1.0,1:32.893,1:31.745,1:33.096,0.0,,95999.43859649122,5207.63839407881,24.7,0.0,0.0,5.0,23.329226557152634,57.0
48,20,2,2,3,6,4,4,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,1,2008,3,2008-04-06,heidfeld,1977-05-10,German,BMW Sauber,7,Bahrain,11.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,6.0,1:33.137,1:31.909,1:33.737,0.0,,96059.28070175438,4842.932688665243,24.7,0.0,0.0,5.0,30.90759753593429,57.0
49,20,5,1,23,5,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1,2008,3,2008-04-06,kovalainen,1981-10-19,Finnish,McLaren,7,Bahrain,4.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,1:33.057,1:31.718,1:33.488,0.0,,96381.73684210527,5221.179832205126,24.7,0.0,0.0,5.0,26.46406570841889,57.0
50,20,15,7,11,7,6,6,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,1,2008,3,2008-04-06,trulli,1974-07-13,Italian,Toyota,7,Bahrain,3.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,1:32.493,1:32.159,1:33.994,0.0,,96636.56140350878,4963.505051219723,24.7,0.0,0.0,5.0,33.73305954825462,57.0
51,20,17,9,10,11,7,7,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,1,2008,3,2008-04-06,webber,1976-08-27,Australian,Red Bull,7,Bahrain,2.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,11.0,1:33.194,1:32.371,,0.0,,96709.52631578948,4927.110476396539,24.7,0.0,0.0,5.0,31.60848733744011,57.0
52,20,3,3,7,8,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,1,2008,3,2008-04-06,rosberg,1985-06-27,German,Williams,7,Bahrain,1.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,8.0,1:32.903,1:32.185,1:34.015,0.0,,96892.26315789473,5078.995807406627,24.7,0.0,0.0,5.0,22.77618069815195,57.0
53,20,10,7,12,13,9,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,1,2008,3,2008-04-06,glock,1982-03-18,German,Toyota,7,Bahrain,3.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,1:32.800,1:32.528,,0.0,,97131.05263157895,4869.429877969919,24.7,0.0,0.0,5.0,26.053388090349078,57.0
54,20,4,4,5,10,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,1,2008,3,2008-04-06,alonso,1981-07-29,Spanish,Renault,7,Bahrain,0.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,10.0,1:32.947,1:32.345,1:35.115,0.0,,97265.80701754386,4878.13444815081,24.7,0.0,0.0,5.0,26.688569472963724,57.0
55,20,22,11,17,12,11,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,2008,3,2008-04-06,barrichello,1972-05-23,Brazilian,Honda,7,Bahrain,0.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,1:32.944,1:32.508,,0.0,,97277.75438596492,4979.042418264999,24.7,0.0,0.0,5.0,35.87132101300479,57.0
56,20,21,10,21,18,12,12,12,0.0,56,,,56,11,1:35.057,204.963,11,2008,3,2008-04-06,fisichella,1973-01-14,Italian,Force India,7,Bahrain,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,18.0,1:33.501,,,0.0,,97650.82142857143,5211.49030197049,24.7,0.0,0.0,5.0,35.22518822724162,56.0
57,20,1,1,22,3,13,13,13,0.0,56,,,25,19,1:35.520,203.969,11,2008,3,2008-04-06,hamilton,1985-01-07,British,McLaren,7,Bahrain,4.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,1:32.750,1:31.922,1:33.292,0.0,,97906.85714285714,6138.277212936636,24.7,0.0,0.0,5.0,23.24435318275154,56.0
58,20,6,3,8,16,14,14,14,0.0,56,,,30,17,1:35.433,204.155,11,2008,3,2008-04-06,nakajima,1985-01-11,Japanese,Williams,7,Bahrain,1.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,16.0,1:33.386,1:32.943,,0.0,,97936.375,4462.817660962635,24.7,0.0,0.0,5.0,23.23340177960301,56.0
59,20,7,5,14,15,15,15,15,0.0,56,,,33,15,1:35.333,204.369,11,2008,3,2008-04-06,bourdais,1979-02-28,French,Toro Rosso,7,Bahrain,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,15.0,1:33.415,1:32.915,,0.0,,98134.92857142857,5406.128131724531,24.7,0.0,0.0,5.0,29.10335386721424,56.0
60,20,19,8,19,21,16,16,16,0.0,56,,,45,14,1:35.324,204.389,11,2008,3,2008-04-06,davidson,1979-04-18,British,Super Aguri,7,Bahrain,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,21.0,1:34.140,,,0.0,,98814.96428571429,5093.356628408794,24.7,0.0,0.0,5.0,28.969199178644764,56.0
61,20,11,8,18,22,17,17,17,0.0,56,,,56,20,1:35.891,203.180,11,2008,3,2008-04-06,sato,1977-01-28,Japanese,Super Aguri,7,Bahrain,0.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,22.0,1:35.725,,,0.0,,98965.60714285714,5268.9981372296825,24.7,0.0,0.0,5.0,31.186858316221766,56.0
62,20,14,9,9,17,18,18,18,0.0,56,,,43,16,1:35.351,204.331,11,2008,3,2008-04-06,coulthard,1971-03-27,British,Red Bull,7,Bahrain,2.0,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,17.0,1:33.433,,,0.0,,99136.89285714286,7540.150231632284,24.7,0.0,0.0,5.0,37.02943189596167,56.0
63,20,16,10,20,20,19,19,19,0.0,56,,,55,18,1:35.442,204.136,12,2008,3,2008-04-06,sutil,1983-01-11,German,Force India,7,Bahrain,0.0,+2 Laps,http://en.wikipedia.org/wiki/2008_Formula_One_season,20.0,1:33.845,,,0.0,,100028.12727272727,9970.625419765774,24.7,0.0,0.0,5.0,25.234770704996578,56.0
64,20,12,4,6,14,,R,20,0.0,40,,,31,12,1:35.129,204.808,6,2008,3,2008-04-06,piquet_jr,1985-07-25,Brazilian,Renault,7,Bahrain,0.0,Gearbox,http://en.wikipedia.org/wiki/2008_Formula_One_season,14.0,1:32.975,1:32.790,,0.0,,100168.875,9265.64880645102,24.7,0.0,0.0,5.0,22.699520876112253,40.0
65,20,18,11,16,9,,R,21,0.0,19,,,11,21,1:36.125,202.686,4,2008,3,2008-04-06,button,1980-01-19,British,Honda,7,Bahrain,0.0,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,9.0,1:32.793,1:32.362,1:35.057,0.0,,103582.05263157895,14313.954700352475,24.7,0.0,0.0,5.0,28.213552361396303,19.0
66,20,20,5,15,19,,R,22,0.0,0,,,,,,,5,2008,3,2008-04-06,vettel,1987-07-03,German,Toro Rosso,7,Bahrain,0.0,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,19.0,1:33.562,,,0.0,,,,24.7,0.0,0.0,5.0,20.761122518822724,0.0
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1,2008,4,2008-04-27,raikkonen,1979-10-17,Finnish,Ferrari,109,Spain,18.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,1.0,1:20.701,1:20.784,1:21.813,0.0,,89379.56060606061,16464.946457553895,20.0,0.0,0.0,69.0,28.528405201916495,66.0
68,21,13,6,2,3,2,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1,2008,4,2008-04-27,massa,1981-04-25,Brazilian,Ferrari,109,Spain,18.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,1:21.528,1:20.584,1:22.058,0.0,,89428.4696969697,16296.164656110583,20.0,0.0,0.0,69.0,27.006160164271048,66.0
69,21,1,1,22,5,3,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1,2008,4,2008-04-27,hamilton,1985-01-07,British,McLaren,109,Spain,6.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,1:21.366,1:20.825,1:22.096,0.0,,89443.0,16149.584262331764,20.0,0.0,0.0,69.0,23.301848049281315,66.0
70,21,9,2,4,4,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,1,2008,4,2008-04-27,kubica,1984-12-07,Polish,BMW Sauber,109,Spain,5.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,1:21.423,1:20.597,1:22.065,0.0,,89465.83333333333,16138.229508824295,20.0,0.0,0.0,69.0,23.38672142368241,66.0
71,21,17,9,10,7,5,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,1,2008,4,2008-04-27,webber,1976-08-27,Australian,Red Bull,109,Spain,4.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,1:21.494,1:20.984,1:22.429,0.0,,89924.07575757576,15380.31364920816,20.0,0.0,0.0,69.0,31.665982203969882,66.0
72,21,18,11,16,13,6,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,1,2008,4,2008-04-27,button,1980-01-19,British,Honda,109,Spain,3.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,1:21.757,1:21.211,,0.0,,90182.74242424243,15518.932382302599,20.0,0.0,0.0,69.0,28.27104722792608,66.0
73,21,6,3,8,12,7,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,1,2008,4,2008-04-27,nakajima,1985-01-11,Japanese,Williams,109,Spain,2.0,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,1:21.690,1:21.117,,0.0,,90262.04545454546,15347.455714404077,20.0,0.0,0.0,69.0,23.290896646132786,66.0
